id,product_id,brand,model,price,good_count,general_count,poor_count
48,100011323840,美的（Midea）,JSQ30-JM9,2199,3994,21,47
49,100006961267,美的（Midea）,JSQ30-RD3,1799,1519,4,9
50,6723160,美的（Midea）,JSQ30-G3S,1599,185092,755,1489
51,100011596094,美的（Midea）,JSQ30-JM2,1199,764,2,5
52,100005217021,美的（Midea）,JSQ25-JM3,1799,746,3,4
53,100006423973,美的（Midea）,JSQ30-16E1,3599,147,0,4
54,100006906796,美的（Midea）,JSQ30-GT5,2099,344,2,7
55,100002419329,美的（Midea）,JSQ30-GS6,1699,2302,9,31
56,28502078884,美的（Midea）,JSG22-12HC5 ,1599,72,0,3
57,100007646337,美的（Midea）,JSQ25-JM2,4198,1122,5,5
58,35514877065,美的（Midea）,JSQ25-13HP3(T),1999,13,1,0
59,11972109451,美的（Midea）,H6S系列,1499,247,1,3
60,69611386400,美的（Midea）,210511100,2999,0,0,0
61,100011323812,美的（Midea）,JSQ25-JM9,1899,979,3,7
66,69498135213,美的（Midea）,JSQ30-WZ161,1799,272,0,4
67,100006759264,美的（Midea）,JSQ30-DL3,1299,2532,19,33
68,6863137,美的（Midea）,JSQ27-G3S,1499,185109,755,1489
69,67841537087,美的（Midea）,JSQ25-TD7,1899,145,1,1
70,100006869477,美的（Midea）,JSQ34-RT5,2699,107,1,1
71,100009238790,美的（Midea）,JSQ30-JM5,1649,1469,5,12
72,100012534426,美的（Midea）,JSQ34-RX9,3999,279,2,4
73,100002329883,美的（Midea）,JSQ25-ZC3,1499,6154,2,7
74,67841537088,美的（Midea）,JSQ30-TD7,2099,144,1,1
75,64813271572,美的（Midea）,JSQ30-TD2,1299,909,5,8
76,100012719944,美的（Midea）,JSQ25-RD3,1599,407,1,1
77,69286850470,美的（Midea）,JSQ30-NT1,1799,73,0,1
78,33728613764,美的（Midea）, L1PB20-C12,4299,866,3,8
79,100001632189,美的（Midea）,JSQ27-WD7,1299,185111,755,1490
80,100003168551,美的（Midea）,JSQ30-GTS,2799,1893,5,15
81,66879216254,美的（Midea）,JSQ30-TD7,2099,252,2,2
82,100002076059,美的（Midea）,JSQ30-WD7,1499,185113,755,1490
83,66291393930,美的（Midea）,TD7,-1,408,1,3
