id,product_id,brand,model,price,good_count,general_count,poor_count
48,100011323840,美的（Midea）,JSQ30-JM9,2199,3994,21,47
49,100006961267,美的（Midea）,JSQ30-RD3,1799,1519,4,9
50,6723160,美的（Midea）,JSQ30-G3S,1599,185092,755,1489
51,100011596094,美的（Midea）,JSQ30-JM2,1199,764,2,5
52,100005217021,美的（Midea）,JSQ25-JM3,1799,746,3,4
53,100006423973,美的（Midea）,JSQ30-16E1,3599,147,0,4
54,100006906796,美的（Midea）,JSQ30-GT5,2099,344,2,7
55,100002419329,美的（Midea）,JSQ30-GS6,1699,2302,9,31
56,28502078884,美的（Midea）,JSG22-12HC5 ,1599,72,0,3
57,100007646337,美的（Midea）,JSQ25-JM2,4198,1122,5,5
58,35514877065,美的（Midea）,JSQ25-13HP3(T),1999,13,1,0
59,11972109451,美的（Midea）,H6S系列,1499,247,1,3
60,69611386400,美的（Midea）,210511100,2999,0,0,0
61,100011323812,美的（Midea）,JSQ25-JM9,1899,979,3,7
66,69498135213,美的（Midea）,JSQ30-WZ161,1799,272,0,4
67,100006759264,美的（Midea）,JSQ30-DL3,1299,2532,19,33
68,6863137,美的（Midea）,JSQ27-G3S,1499,185109,755,1489
69,67841537087,美的（Midea）,JSQ25-TD7,1899,145,1,1
70,100006869477,美的（Midea）,JSQ34-RT5,2699,107,1,1
71,100009238790,美的（Midea）,JSQ30-JM5,1649,1469,5,12
72,100012534426,美的（Midea）,JSQ34-RX9,3999,279,2,4
73,100002329883,美的（Midea）,JSQ25-ZC3,1499,6154,2,7
74,67841537088,美的（Midea）,JSQ30-TD7,2099,144,1,1
75,64813271572,美的（Midea）,JSQ30-TD2,1299,909,5,8
76,100012719944,美的（Midea）,JSQ25-RD3,1599,407,1,1
77,69286850470,美的（Midea）,JSQ30-NT1,1799,73,0,1
78,33728613764,美的（Midea）, L1PB20-C12,4299,866,3,8
79,100001632189,美的（Midea）,JSQ27-WD7,1299,185111,755,1490
80,100003168551,美的（Midea）,JSQ30-GTS,2799,1893,5,15
81,66879216254,美的（Midea）,JSQ30-TD7,2099,252,2,2
82,100002076059,美的（Midea）,JSQ30-WD7,1499,185113,755,1490
83,66291393930,美的（Midea）,TD7,-1,408,1,3
84,62581859528,美的（Midea）,LIPB20-C11,4999,870,0,5
85,66291393929,美的（Midea）,自营（TD7系列）,-1,406,1,3
86,70081908213,美的（Midea）,JSQ30-WZ161,1239,24,0,0
87,100009238780,美的（Midea）,JSQ27-JM5,1499,490,2,8
88,50766591888,美的（Midea）,Y8S,1799,1026,9,15
89,69650157255,美的（Midea）,L1PB20-C18,5399,13,0,0
90,100007766168,美的（Midea）,JSQ22-JM1,899,2376,8,25
91,68735914473,美的（Midea）,JSQ22-HWA,799,398,7,9
92,100011426470,美的（Midea）,JSQ22-12HM1,999,1110,0,1
93,65735045450,美的（Midea）,JSQ22-PH1,909,201,0,2
94,67207754125,美的（midea）,JSQ22-HWA,799,72,0,1
95,69627030883,美的（Midea）,L1PB20-C12,4299,13,0,1
96,65471545701,美的（Midea）,JSQ25-PH1,959,200,0,2
98,64630635503,美的（Midea）,JSQ25-PH1,949,144,0,0
99,28201824151,美的（Midea）,JSQ22-L1,709,532,3,7
100,29056147664,美的（Midea）,JSQ22-L1(Y),-1,13170,56,145
101,100011376192,美的（Midea）,JSQ30-16HTS3,3799,5,0,0
102,69527041334,美的（Midea）,JSQ30-L3,899,17,0,0
103,66879216255,美的（Midea）,JSQ25-TD7,1899,254,2,2
104,100004049591,美的（Midea）,JSQ30-GT9,2799,757,2,11
105,30030630339,美的（Midea）,TD2,1049,6109,31,49
106,68100979981,美的（Midea）,JSQ25-TD2,1059,63,0,1
107,100011376188,美的（Midea）,JSQ30-16HS4,2999,3,0,0
108,39974630844,美的（Midea）,JSQ22-HWA,809,1361,7,32
109,25745835099,美的（Midea）,JSG20-10HC5 ,1699,812,8,24
110,100005162019,美的（Midea）,JSQ30-JM7,3399,130,0,0
111,44559706683,美的（Midea）,JSG22-12HC5,1599,475,4,8
112,26153448896,美的（Midea）,JSQ30-Y8S,1799,3689,18,52
